name,id,team,position_id,points_round_1,points_round_2,price_round_1,price_round_2,Man of the match,num_matches,Tackles,Dominant tackles,Line-breaks,Metres carried,Kick 50-22,Lineout steal,Breakdown steal,Try,Assists,Conversion,Penalty,Drop goal,Yellow cards,Red cards ,position,played_round_1,points_to_price_round_1,played_round_2,points_to_price_round_2,latest_price,total_points_to_latest_price_ratio,points_all_rounds,total_points_all_rounds,points_per_round_all_rounds
Lewis Ludlam,227,England,10,42.4,60.0,12.0,13.9,0.0,2.0,25.0,4.0,1.0,102.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,back-row,True,3.533333333333333,True,4.316546762589928,13.9,3.683453237410072,102.4,102.4,51.2
Kyle Sinckler,135,England,12,19.0,25.3,13.7,13.9,0.0,2.0,16.0,2.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,front-row,True,1.3868613138686132,True,1.8201438848920863,13.9,1.593525179856115,44.3,44.3,22.15
Yoram Moefana,383,France,7,20.2,20.4,14.4,13.8,0.0,2.0,12.0,0.0,0.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,centres,True,1.4027777777777777,True,1.4782608695652173,13.8,1.4710144927536228,40.599999999999994,40.599999999999994,20.299999999999997
Peter O'Mahony,57,Ireland,10,22.0,15.6,13.9,13.6,0.0,2.0,11.0,1.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,back-row,True,1.5827338129496402,True,1.1470588235294117,13.6,1.3823529411764708,37.6,37.6,18.8
Sam Simmonds,357,England,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,back-row,False,,False,,0.0,,0.0,0.0,
Nick Tompkins,154,Wales,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,centres,False,,False,,0.0,,0.0,0.0,
Matthieu Jalibert,117,France,8,18.1,5.8,13.5,13.4,0.0,2.0,2.0,0.0,0.0,27.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,fly-half,True,1.3407407407407408,True,0.43283582089552236,13.4,0.8917910447761195,23.900000000000002,23.900000000000002,11.950000000000001
Ali Price,94,Scotland,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,scrum-half,False,,False,,0.0,,0.0,0.0,
Grant Gilchrist,84,Scotland,11,34.4,37.4,12.8,13.3,0.0,2.0,23.0,3.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,second-row,True,2.6874999999999996,True,2.8120300751879697,13.3,2.6992481203007515,71.8,71.8,35.9
Anthony Watson,222,England,6,5.6,0.0,13.4,13.1,0.0,1.0,2.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,back-three,True,0.417910447761194,False,0.0,13.1,0.42748091603053434,5.6,5.6,5.6
